Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Entre Ríos,300064400,DON SEGUNDO SOMBRA 24,Estatal,Rural,DISTRITO TACUARAS,E3190,,,06/08/1961,4673,"$  93.460,00","$  102.806,00",5
Misiones,540039400,ESC. Nº 342,Estatal,Urbano,RUTA 224 ENTRE RUTA NAC. Nº 14 Y RUTA PROV.Nº17   PARAJE SANTA ROSA-3 KM RUTA NAC. 14 o 13 KM DE RUTA PROV. 17,N3352,3751,15604390,20/06/1985,4575,"$  91.500,00","$  91.500,00",3
Santa Fe,820257400,ESCUELA NRO 6323 PABLO PIZZURNO,Estatal,Rural,COLONIA EL INCA,S3060,3491,474542,27/08/1971,3205,"$  64.100,00","$  70.510,00",9
Santiago del Estero,860104100,ESCUELA N° 454 LUIS S. MANZIONE,Estatal,Rural,SUNCHO POZO ALTO   SUNCHO POZO ALTO,G3760,,,13/04/1959,4814,"$  96.280,00","$  105.908,00",4
Formosa,340115700,ESCUELA PRIVADA DE NIVEL SECUNDARIA MARIA MADRE,Privado,Urbano,HNA.CLOTA CHARPENTIER  ALBERDI,3600,370,4523212,13/04/1995,4223,"$  84.460,00","$  84.460,00",8
Misiones,540036500,ESC. Nº 330: PIONEROS DE MISIONES.,Estatal,Urbano,RUTA 8- KM 10 -LOTE 132 A 12KM DE R 14   RUTA PROV.N°8 -KM 10- LOTE 132 A 12 KM DE R. 14,N3362,3755,15503600,08/01/1984,1896,"$  37.920,00","$  37.920,00",6
Buenos Aires,60021701,ANEXO ESCUELA ESPECIAL Nº501,Estatal,Rural,BUENOS AIRES S/N,6053,2356,42-1196,07/11/1963,4562,"$  91.240,00","$  100.364,00",3
Mendoza,500109500,MANUEL IGNACIO MOLINA,Estatal,Urbano,JUAN AGUSTIN MAZA 37  MAZA Y SAN LORENZO - PLANTA ALTA,M5600,260,4421517,29/03/1974,3726,"$  74.520,00","$  74.520,00",10
Córdoba,140035201,J.DE INF. NICOLAS AVELLANEDA - ANEXO BAÑADO DE SOTO,Estatal,Rural,CALLE PUBLICA   BAÑADO DE SOTO,X5284,3549,480406,03/07/1984,3983,"$  79.660,00","$  87.626,00",10
Tucumán,900177504,C.E.B.A. N° 1-153,Estatal,Rural,AV. PTE. PERON 400 ACACIAS ESCUELA SALOBREÑA,T4106,381,4574756,28/05/1994,4954,"$  99.080,00","$  108.988,00",10
Jujuy,380050500,ESCUELA NOCTURNA PARA JOVENES Y ADULTOS N 403,Estatal,Urbano,TEODORO SANCHEZ DE BUSTAMANTE  CENTRO,Y4518,,,29/04/1982,2303,"$  46.060,00","$  46.060,00",8
Tucumán,900215200,COORDINACIÓN CENTRAL INTEGRACIÓN ESCOLAR,Estatal,Urbano,CORRIENTES 459 NORTE,4000,381,0,06/12/1973,2772,"$  55.440,00","$  55.440,00",10
Santa Fe,820458901,NUCLEO I - JARDIN DE INFANTES NRO 336,Estatal,Urbano,CALLE PÚBLICA NRO 6 - 1;6 KM,S2300,3492,15318369,03/04/1992,4845,"$  96.900,00","$  96.900,00",9
Tucumán,900220800,ESC. ESPECIAL N° 395 - ELSA RUGGERI DE FABIO,Estatal,Urbano,ECUADOR 3800,4000,,,05/06/1988,2508,"$  50.160,00","$  50.160,00",6
Corrientes,180041700,ESCUELA TECNICA BRIGADIER GRAL. PEDRO FERRE,Estatal,Urbano,CNEL. PRINGLES S/N  BAÑADO NORTE,W3400,3794,501034,07/01/1991,3216,"$  64.320,00","$  64.320,00",3
Catamarca,100010200,ESCUELA N° 256,Estatal,Rural,SANTA ROSA,K5264,,,27/04/1991,4341,"$  86.820,00","$  95.502,00",3
La Rioja,460041301,J.I.N. N°5 EXTENSION 01,Estatal,Rural,VILLA CASANA,F5470,,,03/01/1979,4301,"$  86.020,00","$  94.622,00",3
Entre Ríos,300103400,RIO GUALEGUAY 62,Estatal,Rural,RINCON DEL CHAÑAR,E3180,0,0,21/11/1953,4154,"$  83.080,00","$  91.388,00",9
Buenos Aires,60366900,JARDÍN DE INFANTES Nº926,Estatal,Urbano,149 E/ AV. EVA PERON Y SABIN 3115,1884,11,4258-4307,26/03/1980,4520,"$  90.400,00","$  90.400,00",3
Tucumán,900017000,INST. SAN VICENTE DE PAUL,Privado,Urbano,URQUIZA 251 Alderetes-centro PARROQUIA SAGRADA FAMILIA,T4178,,-4940647,29/03/1956,3698,"$  73.960,00","$  73.960,00",9
Buenos Aires,60306100,JARDÍN DE INFANTES Nº933 MARTÍN FIERRO,Estatal,Urbano,26 E/ 452 Y 453 S/N,1896,221,480-3197,09/03/1961,2851,"$  57.020,00","$  57.020,00",8
Chaco,220042902,JARDIN DE INFANTES Nº 104 SANTIAGO ALLENDE,Estatal,Rural,LOTE 11-ZONA RURAL(FUNCIONA EEP Nº 997),H3701,373,2587474,01/02/1965,3909,"$  78.180,00","$  85.998,00",8
San Luis,740052100,ESC. N°148 PROVINCIA DE CHUBUT,Estatal,Urbano,JORGE NEWBERY EXTREMO ESTE S/N  EXTREMO ESTE,D5730,266,4452000,26/08/1992,2581,"$  51.620,00","$  51.620,00",7
San Luis,740059700,ESCUELA N° 443 ISLAS MALVINAS,Estatal,Urbano,RUTA 146 KM7   SERVICIO PENITENCIARIO,D5700,266,4423614,06/07/1985,2617,"$  52.340,00","$  52.340,00",7
Misiones,540188400,NENI Nº 70,Estatal,Urbano,8 de Septiembre 985  ESCUELA Nº 319,3364,3755,15412730,01/08/1969,3522,"$  70.440,00","$  70.440,00",9
Salta,660153500,COLEGIO SECUNDARIO PLURICURSO SIN ITINERANCIA,Estatal,Rural,CALLE S/N  CENTRO FRENTE A LA PLAZA,A4190,3876,15570553/421530,07/01/1980,1928,"$  38.560,00","$  42.416,00",4
Buenos Aires,60244100,ESCUELA EJERCITO DE LOS ANDES,Privado,Urbano,AV. SANTA FE E/ BOEDO Y PORTELA 287,1832,11,4282-0474,02/05/1960,4161,"$  83.220,00","$  83.220,00",4
Córdoba,140088801,J.DE INF. MODELO- ANEXO LAS ALBAHACAS.,Estatal,Rural,CALLE 11 S/N   LAS ALBAHACAS,X5800,358,4672147,07/05/1991,3951,"$  79.020,00","$  86.922,00",10
Santiago del Estero,860052400,ESCUELA N° 340 Escuela Infantil,Estatal,Rural,EL ARBOL   EL ARBOL,G5250,,,05/11/1956,4474,"$  89.480,00","$  98.428,00",4
Santiago del Estero,860063400,ESCUELA Nº206 PROVINCIA DE MISIONES,Estatal,Rural,EL AYUDANTE   EL AYUDANTE,G5253,,,22/11/1976,4643,"$  92.860,00","$  102.146,00",8
Buenos Aires,60179500,ESCUELA DE EDUCACIÓN PRIMARIA Nº22 ALMIRANTE BROWN,Estatal,Rural,ZONA RURAL s/n  OMBU,7545,2926,43-2260,07/03/1950,3344,"$  66.880,00","$  73.568,00",8
Catamarca,100072803,JIN N°17 - ANEXO 03 EN ESCUELA N°307,Estatal,Rural,FAMATANCA,K4139,0,0,04/08/1978,3035,"$  60.700,00","$  66.770,00",8
Santa Fe,820392401,CENTRO DE ALFABETIZACION NRO 90,Estatal,Urbano,AVENIDA PEÑALOZA  9500,S3000,,,14/09/1965,2185,"$  43.700,00","$  43.700,00",5
Misiones,540122700,ESC. Nº 814,Estatal,Urbano,PARAJE LA CORDILLERA   LIMITE A. DEL VALLE; DOS DE MAYO Y EL ALCAZAR,N3364,3755,696510/496367,23/09/1989,2775,"$  55.500,00","$  55.500,00",4
Santiago del Estero,860058500,ESCUELA Nº507 BERTA VICENTE,Estatal,Rural,MEDELLIN   MEDELLIN,G4313,,,14/08/1965,4453,"$  89.060,00","$  97.966,00",5
Misiones,540077802,Aula Sat. Nº 02: ESC. Nº 642,Estatal,Urbano,Pje. 500 Hectáreas   Pje. 500 Hectáreas,N3385,3757,15444934,19/12/1987,2578,"$  51.560,00","$  51.560,00",6
Tucumán,900039300,ESC. DR. ELISEO CANTON,Estatal,Urbano,BELGRANO 550 VILLA NUEVA,T4128,381,4812681,26/04/1995,4659,"$  93.180,00","$  93.180,00",9
La Rioja,460028600,ESC.N°348,Estatal,Rural,POZO REDONDO,F5380,,,02/03/1995,4111,"$  82.220,00","$  90.442,00",3
Entre Ríos,300115400,ESCUELA SECUNDARIA 3 ATILIO SANTOS PASCUAL SCHIAVONI,Estatal,Urbano,ALMIRANTE BROWN Y MITRE  VILLA 3 DE FEBRERO,E3150,3435,422980,29/10/1973,4670,"$  93.400,00","$  93.400,00",6
Río Negro,620109000,JARDIN DE INFANTES INDEPENDIENTE NRO.120,Estatal,Urbano,MENGUELLE  1550,8424,299,4783663,22/04/1957,2739,"$  54.780,00","$  54.780,00",3
Formosa,340034600,EPEP Nº226 CRUZ ROJA ARGENTINA,Estatal,Rural,CAMPO HARDY,P3603,1,1,27/03/1982,2981,"$  59.620,00","$  65.582,00",6
Formosa,340050400,E.P.E.P. Nº230 PATRICIAS MENDOCINAS,Estatal,Rural,LA PRIMAVERA,P3613,3718,457695,18/10/1986,1859,"$  37.180,00","$  40.898,00",8
Misiones,540008300,ESC. ESPECIAL CARCELARIA Nº 25 (UP5),Estatal,Urbano,UNIDAD PENAL V BºSEQUISCENTENARIO  Sequiscentenario; M. LANÚS UNIDAD PENAL V BºSEQUISCENTENARIO- M. LANÚS-RUTA 12  KM.7,N3300,3764,630100/562301,05/08/1983,2585,"$  51.700,00","$  51.700,00",4
Tucumán,900183800,INST. MARIANO MORENO,Privado,Urbano,GENERAL PAZ 184 SUR,T4000,,(0381) 4248417,06/10/1978,1847,"$  36.940,00","$  36.940,00",3
Ciudad de Buenos Aires,20123100,ESC. DE COM. Nº 30 DR. ESTEBAN A. GASCON DE 18,Estatal,Urbano,SAN BLAS 5387 VILLA LURO,C1407,11,4567-0219,04/06/1969,4260,"$  85.200,00","$  85.200,00",9
Tucumán,900186500,INST. MODELO TECNICO MECANICO DENTAL,Privado,Urbano,San Lorenzo 1073 Sur,T4000,,4305346,26/07/1957,3720,"$  74.400,00","$  74.400,00",6
Buenos Aires,60200300,JARDÍN DE INFANTES Nº905,Estatal,Urbano,13 E/40 BIS Y 42 585,6605,2272,42-0269,15/01/1971,1793,"$  35.860,00","$  35.860,00",9
La Rioja,460037300,J.I.N. N°3,Estatal,Urbano,JUAN FACUNDO QUIROGA S/N° JARDIN,F5473,,03821-491836,07/11/1964,2907,"$  58.140,00","$  58.140,00",6
Santa Fe,820176905,GRADO RADIAL NRO V - ESCUELA NOCTURNA NRO 72,Estatal,Urbano,SUPERI 1220 UNION,S2000,341,4726555,02/01/1993,1776,"$  35.520,00","$  35.520,00",8
San Juan,700107600,CENTRO EDUCATIVO DE NIVEL SECUNDARIO DE ADULTOS (C.E.N.S.) LA MAJADITA,Estatal,Rural,RUTA 523,,264,4302023,13/06/1978,3800,"$  76.000,00","$  83.600,00",5
Santiago del Estero,860037400,ESCUELA Nº 186 REPUBLICA DE NICARAGUA,Estatal,Urbano,PJE POZO DE LA PUERTA   POZO DE LA PUERTA,G4230,,,02/02/1967,1765,"$  35.300,00","$  35.300,00",7
Neuquén,580042800,ESCUELA PRIMARIA 307,Estatal,Urbano,FERNANDEZ ALBERTO DIPUTADO 1261 RUCA HUENEY BARRIO MUNICIPAL,8340,2942,421521,16/02/1964,2034,"$  40.680,00","$  40.680,00",8
Santa Fe,820010000,ESCUELA PART. INC. NRO 1110 NUESTRA SEÑORA DE LOS ANGELES,Privado,Urbano,25 DE MAYO 150 CENTRO,S2185,3467,461014,24/04/1992,3902,"$  78.040,00","$  78.040,00",3
Corrientes,180041500,ESCUELA Nº 5 ESPAÑA,Estatal,Urbano,SANTIAGO DEL ESTERO 512 BO.BAÑADO NORTE,W3400,379,4843867,25/02/1968,2040,"$  40.800,00","$  40.800,00",9
Entre Ríos,300110300,ARAOZ DE LAMADRID 3,Estatal,Rural,CALLE VECINAL COLONIA ALEMANA,E3228,,,31/07/1972,2298,"$  45.960,00","$  50.556,00",8
Santiago del Estero,860127000,ESCUELA Nº719 BLAS PARERA,Estatal,Urbano,JOSE BENJAMIN AVALOS 4302 ALMIRANTE BROWN JOSE BENJAMIN AVALOS,G4200,,,10/01/1974,4223,"$  84.460,00","$  84.460,00",5
Salta,660030900,DOCTOR MARIANO BOEDO EX N° 129,Estatal,Urbano,SARMIENTO 490  Lat. a la Parroquia,A4421,387,4906044,21/10/1986,3924,"$  78.480,00","$  78.480,00",8
Santiago del Estero,860189700,Escuela Inicial y Primaria David Mc. Taggart,Privado,Urbano,VIANO 175 8 DE ABRIL,G4200,385,4010311 4240227,28/11/1980,4080,"$  81.600,00","$  81.600,00",4
Santa Fe,820267600,E.E.S. ORIENTADA PART. INC. NRO 8038 MARÍA BICECCI,Privado,Urbano,BUENOS AIRES 1290,S2000,341,4489656,08/03/1953,4792,"$  95.840,00","$  95.840,00",6
Buenos Aires,60144200,ESCUELA DE EDUCACIÓN PRIMARIA Nº3 GENERAL JOSÉ DE SAN MARTIN,Estatal,Urbano,VIEYTES (E/MITRE Y BELGRANO) 105,2741,2474,42-5314,01/03/1991,4192,"$  83.840,00","$  83.840,00",5
Ciudad de Buenos Aires,20111000,SAN JUAN BAUTISTA DE LA SALLE,Estatal,Urbano,CORRALES 3450 VILLA SOLDATI,C1437,11,4918-1388,02/12/1968,2384,"$  47.680,00","$  47.680,00",3
Entre Ríos,300052300,ESCUELA SECUNDARIA 8 MARIA AMERICA BARBOSA,Estatal,Urbano,URQUIZA 2229,E2820,3446,429037,23/05/1956,4915,"$  98.300,00","$  98.300,00",9
Santa Fe,820128600,E.E.S. ORIENTADA NRO 316 JOSE MANUEL ESTRADA,Estatal,Rural,RADIO URBANO   ZONA RURAL- EL TAJAMAR DIST.5,S3565,3482,490577,17/12/1967,4153,"$  83.060,00","$  91.366,00",4
San Luis,740034800,COLEGIO SAGRADO CORAZON,Privado,Urbano,AVENIDA MITRE 1222 ESTACION,D5730,,02657-421183,23/11/1991,3095,"$  61.900,00","$  61.900,00",9
Salta,660003500,INSTITUTO JEAN PIAGET EX N° 43 BIS,Privado,Urbano,JUAN BAUTISTA ALBERDI 627 CENTRO FUNCIONA EN LAS DOS DIRECCIONES,A4400,387,4223592/4232242,05/05/1986,1944,"$  38.880,00","$  38.880,00",6
Misiones,540180500,INST. SUP. CULTURAL LATINOAMERICANO,Privado,Urbano,Av. Homero Jauregui  Centro Esq. Colón,3385,3757,430977/497625,11/08/1965,1777,"$  35.540,00","$  35.540,00",3
Formosa,340003000,ESC.ESP.N° 4 HOSPITALARIA DON J.B.CACERES,Estatal,Urbano,AYACUCHO Y JULIO A ROCA  DON BOSCO AYACUCHO Y JULIO A. ROCA,P3600,370,4685796,20/07/1955,3517,"$  70.340,00","$  70.340,00",9
Jujuy,380085900,JARDIN INDEPENDIENTE N 3,Estatal,Urbano,SUB OFICIAL MATE DE LUNA  1486 ALTO COMEDERO,Y4600,388,4056857,27/09/1982,4218,"$  84.360,00","$  84.360,00",6
Santa Fe,820424800,JARDIN DE INFANTES NRO 291 PASO VINAL,Estatal,Urbano,SIMON DE IRIONDO 6751 LA ORILLA,S3080,3496,437210,10/07/1955,3392,"$  67.840,00","$  67.840,00",6
Buenos Aires,60301900,ESCUELA DE EDUCACIÓN PRIMARIA Nº68 VICE ALMIRANTE MARCOS ANTONIO ZAR,Estatal,Urbano,CRUCERO BELGRANO S/N,8107,291,482-1164,01/09/1958,3728,"$  74.560,00","$  74.560,00",4
Misiones,540166100,E.P.E.T. Nº 50 (EX B.O.P. Nº 70),Estatal,Urbano,RUTA NACIONAL Nº 14 KM 820   EX SAT Nº 1 B.O.L.P. Nº 4 (ESC. Nº 100),N3313,3754,423639,11/07/1988,4631,"$  92.620,00","$  92.620,00",5
Santa Fe,820142500,ESCUELA NRO 6402 BLAS PARERA,Estatal,Urbano,SAN MARTIN 419,S2447,3492,470246,22/05/1970,4629,"$  92.580,00","$  92.580,00",7
Corrientes,180046700,ESCUELA Nº 805,Estatal,Rural,VIRGEN DE ITATI PJE. SANTA TERESITA,W3421,0,0,21/07/1974,4624,"$  92.480,00","$  101.728,00",9
Santa Fe,820303600,ESCUELA PART. INC. NRO 1346 MICHELANGELO BUONARROTI,Privado,Urbano,BUENOS AIRES 1725 SAN CARLOS,S2170,3464,420594/428333,01/06/1951,4878,"$  97.560,00","$  97.560,00",3
Buenos Aires,60193700,JARDÍN DE INFANTES Nº928 REPUBLICA ARGENTINA,Estatal,Urbano,MAURE 4562,1825,11,4246-2897,05/01/1958,2147,"$  42.940,00","$  42.940,00",10
La Rioja,460052801,COLEGIO SECUNDARIO PROVINCIAL ALBERTO BREYER (ESC.N°040),Privado,Rural,AMANA,,,,28/06/1990,2257,"$  45.140,00","$  49.654,00",6
Salta,660102300,MARTIN MIGUEL DE GUEMES EX N° 649,Estatal,Rural,RUTA PROVINCIAL Nª 11 FINCA SAN ROQUE,A4432,387,155012685,01/08/1954,4975,"$  99.500,00","$  109.450,00",7
Misiones,540138600,ESC. Nº 881 (Ex Aula Sat. ESC. Nº 380),Estatal,Urbano,SANTISIMA TRINIDAD BARRIO SANTISIMA TRINIDAD,N3356,3755,15502593,25/01/1977,4859,"$  97.180,00","$  97.180,00",10
Catamarca,100015900,ESCUELA N° 468,Estatal,Rural,AMPUJACO,K4750,,,08/07/1952,2187,"$  43.740,00","$  48.114,00",8
Corrientes,180086800,COLEGIO SAN GABRIEL I.P.16,Privado,Urbano,RIVADAVIA 218  entre las calles Vicente Mendieta y Colón,W3220,3775,422539,28/02/1957,2550,"$  51.000,00","$  51.000,00",3
Santiago del Estero,860095000,ESCUELA Nº678 GIL PERALTA,Estatal,Rural,BELGRANO N°66   COLOMBIA MONTE QUEMADO.-,G3714,,,04/12/1975,3389,"$  67.780,00","$  74.558,00",3
Buenos Aires,60183800,JARDÍN DE INFANTES Nº905 MERCEDITAS DE SAN MARTIN,Estatal,Urbano,ENTRE RIOS Y URQUIZA S/N,2907,3461,49-2371,17/09/1975,2699,"$  53.980,00","$  53.980,00",3
Santa Fe,820208604,GRADO RADIAL II-ESCUELA NOCTURNA NRO 49,Estatal,Urbano,RIO NEGRO 2481 SAN GENARO,S3060,,,28/05/1977,4648,"$  92.960,00","$  92.960,00",5
Chubut,260061400,SAN JOSÉ OBRERO,Social/cooperativa,Urbano,Pensamientos 836 San Martín Comparte edificio con Escuela de Formación Profesional Nº 1650,U9000,297,4462314,13/04/1953,3083,"$  61.660,00","$  61.660,00",5
San Luis,740007500,ESC. N° 250 TOMAS ESPORA,Estatal,Urbano,9 DE JULIO 384 CENTRO NASCHEL,D5759,266,491061,05/09/1950,4015,"$  80.300,00","$  80.300,00",9
Santiago del Estero,860039300,ESCUELA N° 1069  J/439,Estatal,Rural,RINCON DE ESPERANZA,G2354,,,03/03/1951,4771,"$  95.420,00","$  104.962,00",5
Buenos Aires,60301800,JARDÍN DE INFANTES Nº911 FRAY MAMERTO ESQUIU,Estatal,Urbano,RIVADAVIA 1165,6720,2325,15658030,14/04/1957,2032,"$  40.640,00","$  40.640,00",9
Jujuy,380074900,ESCUELA N 454,Estatal,Rural,RUTA PROVINCIAL N 52,Y4641,0,0,27/03/1950,4411,"$  88.220,00","$  97.042,00",5
Chubut,260070211,UEM-ES N° 208 SIERRA COLORADA,Estatal,Urbano,Lote N°19-SectorJ,,2945,478318,18/04/1980,2927,"$  58.540,00","$  58.540,00",10
Buenos Aires,60507300,JARDÍN DE INFANTES Nº911 EL NEGRITO FALUCHO,Estatal,Urbano,CASTELLI (E/ MONTEAGUDO Y PAUNERO) 556,6620,2346,42-8285,12/10/1965,3849,"$  76.980,00","$  76.980,00",5
Buenos Aires,60236300,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 MARIANO MORENO,Estatal,Rural,4 S/N,7243,2227,15-61-0254,21/01/1975,2401,"$  48.020,00","$  52.822,00",8
Buenos Aires,60406800,JARDÍN DE INFANTES Nº924 BENITO QUINQUELA MARTIN,Estatal,Urbano,URUGUAY 659,1644,11,4745-8574,20/12/1980,2827,"$  56.540,00","$  56.540,00",3
La Rioja,460031700,I.S.F.T. DE NONOGASTA,Estatal,Urbano,JOAQUIN V.GONZALEZ S/N° EL PUEBLO,F5372,,03825-499242,23/07/1958,1517,"$  30.340,00","$  30.340,00",10
Buenos Aires,60503800,ESCUELA DE EDUCACIÓN PRIMARIA Nº27 NUESTRA SEÑORA STELLA MARIS,Estatal,Rural,ZONA RURAL   IGARZABAL,8142,2920,322977,25/08/1976,2784,"$  55.680,00","$  61.248,00",8
Santa Fe,820111100,ESCUELA NRO 1303 GENERAL JOSE DE SAN MARTIN,Estatal,Rural,RUTA NACIONAL 19 - KM 12,S3017,342,4990090,24/12/1991,1740,"$  34.800,00","$  38.280,00",9
Tierra del Fuego,940009801,ESC.PROV.Nº 2 P/ADOLESC.Y ADULTOS WIKAM  ESC.Nº 21,Estatal,Urbano,AVENIDA PREFECTURA NAVAL ARGENTINA 111 CHEPACHEN CHACRA II,V9420,2964,443525,05/10/1963,2434,"$  48.680,00","$  48.680,00",5
Buenos Aires,60217500,COLEGIO NUESTRA SEÑORA DEL ROSARIO,Privado,Urbano,CONGRESALES 2545,1613,11,4663-1740,31/07/1986,3565,"$  71.300,00","$  71.300,00",4
Mendoza,500268908,TRABAJADORES DE LA EDUCACIÓN,Social/cooperativa,Urbano,25 de mayo y Mitre,5561,2622,489809,23/02/1983,4589,"$  91.780,00","$  91.780,00",5
Misiones,540108500,ESC. Nº 623 (F.J.C),Estatal,Rural,Pje. San Isidro; Lote N° 266   Pje. San Isidro; Lote Nº 266,N3355,3758,470279,08/04/1993,3191,"$  63.820,00","$  70.202,00",3
Formosa,340044000,EPEP Nº213 DR.EDUARDO GONZALEZ LELONG,Estatal,Urbano,DR. ESTEBAN .L.MARADONA  SAN ROQUE B° SAN ROQUE -RIVADAVIA Y FORTIN YUNKA S/N,P3626,,3704-083171,19/09/1970,4835,"$  96.700,00","$  96.700,00",5
Santa Fe,820107400,ESCUELA NRO 1204 INGENIERO ENRIQUE MOSCONI,Estatal,Urbano,PASAJE 4 2221 CORONEL AGUIRRE ENTRE ROSARIO Y LINIERS,S2124,341,4921750,16/02/1995,2432,"$  48.640,00","$  48.640,00",10
Santa Fe,820294400,E.E.S. ORIENTADA PART. INC. NRO 2044 SANTA ANA,Privado,Rural,SAN MARTIN 1437,S2253,3404,497082,26/05/1978,4496,"$  89.920,00","$  98.912,00",4
Neuquén,580123200,CENTRO EDUCATIVO COMUNITARIO - ESCUELA DE GESTIÓN SOCIAL - NIVEL MEDIO,Privado,Rural,LOS CONDORES (PEHUENCO) 470 CENTRO CIVICO BIBLIOTECA POPULAR MAESTRO GALEANO,8345,11,30244042,28/01/1956,2962,"$  59.240,00","$  65.164,00",3
Santiago del Estero,860220600,Instituto de Educación Superior SAN PIO DE PIETRELCINA,Privado,Urbano,España 1120 Centro España esq. Lorenzo Lugones,,,,11/06/1986,4073,"$  81.460,00","$  81.460,00",6
Río Negro,620018900,ESCUELA DE EDUCACION ESPECIAL NRO.10 ROSARIO VERA PEÑALOZA,Estatal,Urbano,AV. DE LAS AMÉRICAS 125 CIUDAD DE CATRIEL,R8307,299,4912540,24/04/1991,4801,"$  96.020,00","$  96.020,00",4
Buenos Aires,60417300,JARDÍN DE INFANTES Nº907 DON JOSÉ DE SAN MARTIN,Estatal,Urbano,CAMBACERES 526,6450,2396,47-8443,30/01/1975,3835,"$  76.700,00","$  76.700,00",5
San Luis,740064500,INSTITUTO PRIVADO SAN CAYETANO,Privado,Urbano,LA PUNTA MANZANA 125 PARCELA 1 PREDIO COMERCIAL,D5700,,02652-15306115,29/12/1973,2562,"$  51.240,00","$  51.240,00",6
Formosa,340106600,JIN N° 25 NIÑO JESUS - EPEP N° 312,Estatal,Rural,RUTA NACIONAL Nº 86   COLONIA SAN ISIDRO,P3621,3704,666394,03/06/1991,3935,"$  78.700,00","$  86.570,00",9
Salta,660134005,JARDIN MATERNO INFANTIL BERTA CEREZO DE MAMANI ANEXO METAN,Estatal,Urbano,GUEMES OESTE 166 SAN MARTIN,A4440,,,19/11/1959,3269,"$  65.380,00","$  65.380,00",3
San Luis,740065607,ESCUELA PUBLICA DIGITAL ADULTOS N° 3 ANCHORENA,Estatal,Rural,17 DE OCTUBRE Y AV SAN LUIS,,,,06/07/1993,2715,"$  54.300,00","$  59.730,00",10
Buenos Aires,60426100,ESCUELA DE EDUCACIÓN PRIMARIA Nº27 ALMAFUERTE,Estatal,Rural,RUTA 205 KM.165 CUARTEL VI   LA FORTUNA,7265,2345,15-51-5834,09/02/1955,2922,"$  58.440,00","$  64.284,00",5
Formosa,340106100,ESC.DE EDUC.PRIMARIA HNA.CLOTA CHARPENTIER,Privado,Urbano,ALBERDI AYACUCHO Y VENEZUELA,P3628,,,04/09/1992,3559,"$  71.180,00","$  71.180,00",7
Entre Ríos,300095900,DEL ZORZAL 45,Estatal,Rural,CAMINO VECINAL S/N  DISTRITO COSTA DE NOGOYA,E2840,,,14/04/1984,3285,"$  65.700,00","$  72.270,00",8
Formosa,340117801,EPES AGRARIA N°2-ANEXO 1- EPEP N° 202,Estatal,Rural,RUTA PROVINCIAL Nº 9   EL BAÑADERO - A 60 KM APROX. DE VILLA DOS TRECE,P3603,,,06/01/1968,4298,"$  85.960,00","$  94.556,00",3
Buenos Aires,60494100,ESCUELA DE EDUCACIÓN PRIMARIA Nº11 GABRIELA MISTRAL,Estatal,Rural,RUTA 2 KM. 49 CTEL. VI circuns VI S/N  BUCHANAN,1983,221,491-5470,02/02/1958,2432,"$  48.640,00","$  53.504,00",10
Mendoza,500174703,C.E.B.J.A. N° 3-127,Estatal,Rural,MITRE S/N,M5589,261,0,20/12/1952,3895,"$  77.900,00","$  85.690,00",8
Mendoza,500228611,C.E.B.J.A. Nº 3-235,Estatal,Rural,Obrero Rurales de Santa Maria Posta Sanitaria,5529,261,6715759,11/09/1958,4843,"$  96.860,00","$  106.546,00",10
Buenos Aires,60167000,ESCUELA DE EDUCACIÓN PRIMARIA Nº28 CORONEL ESTOMBA,Estatal,Urbano,AVDA. 9 DE JULIO 214,7303,2283,46-1051,27/12/1977,4454,"$  89.080,00","$  89.080,00",4
Formosa,340048800,EPEP Nº252 GENDARMERIA  NACIONAL,Estatal,Rural,RUTA NACIONAL N°86 DOCENTES ARGENTINOS,P3613,,,25/02/1980,4346,"$  86.920,00","$  95.612,00",3
Mendoza,500149900,JUANA AZURDUY DE PADILLA,Estatal,Urbano,PAULO VI CABO SAN SEBASTIAN S/N,M5501,261,4523838,04/08/1981,3462,"$  69.240,00","$  69.240,00",9
Mendoza,500146700,DALINDA CODORNIU DE LACERNA,Estatal,Urbano,ACONCAGUA 155 LA COLONIA,M5572,,02623 429837,09/10/1988,1920,"$  38.400,00","$  38.400,00",3
Río Negro,620095900,JARDIN DE INFANTES INDEPENDIENTE NRO.100,Estatal,Urbano,URQUIZA Y MALVINAS  INDUSTRIAL,R8363,2946,497599,23/04/1951,3858,"$  77.160,00","$  77.160,00",10
Santa Fe,820128000,ESCUELA NRO 551 GENERAL JUAN LAVALLE,Estatal,Rural,LA RESERVA,S3580,3482,494052,18/07/1984,3863,"$  77.260,00","$  84.986,00",5
Tucumán,900021400,ESC. N° 367,Estatal,Rural,LA HOYADA,T4105,,,23/07/1993,4964,"$  99.280,00","$  109.208,00",7
San Juan,700084600,ESCUELA DE EDUCACIÓN SECUNDARIA JOSÉ MARÍA TORRES,Estatal,Rural,CALLE 9 S/N   ENTRE VIDART Y CALLEJON ANA DE ROMAN,J5427,264,4307794,21/05/1975,3447,"$  68.940,00","$  75.834,00",4
